事件名称,速刷选项,保守选项,回避选项
占,最近能发财,最近有危险,旅程会顺利
虫巢,不要随意押注,,深入虫巢
超验,"点亮-随机","点亮-随机",战斗
互动艺术,我加入你们-动作片,我加入你们-动作片,
电视购物频道,花费50宇宙碎片-离开这里,花费100宇宙碎片-你不感兴趣,损失40当前生命值
完美大挑战,走开,走开,花费
游牧矿工,恩赐,存护,
虚构史学家,获得3个-获得2个,获得3个-获得2个,离开
杰姆哈克与杰姆哈尔,150-2星祝福,2星祝福,
焚化工,将一切奉献,将一切奉献,
像素世界,200宇宙碎片,存护祝福,随机祝福
像素世界隐藏关,方程所需-3星方程,方程所需-3星方程,
阿哈玩偶,轻轻拍,轻轻拍,
谢债发行机,摧毁,,150
雕像,50,,80-99
三只小猪,进入三只扑满的房间,,
无尽黑暗,对抗引力,对抗引力,负面奇物-巨大黑网
筑城者,奇物-碎片,奇物,
自灭者的火种,强化4,,负面奇物
社会性梦境,获得150,获得300,
赏金猎人,你没有兴趣,,1个-5个
我们是牛仔,与他们-付钱,与他们-付钱,
尼尔迪斯牌,放弃,,翻开牌
猜拳游戏,你想起了它的规律-敏锐察觉星体,,
酒馆,揭穿他破产,揭穿他破产,撕下他的面具
周期性大魔王,在4个轮内,,坚持4轮
来交换礼物吧,方程覆写,舍弃1个1,离开
许个愿吧,离开,战斗,99
机器人销售终端,离开,100,99
天外大合唱,听一听,,不要
纯美骑士的帮助,波美茵,维尔迦娜,加莱哈德伊坎
天才俱乐部,"加入糖-轻轻搅拌-碎片","加入糖-轻轻搅拌-碎片",加入牙膏
兽群贪饕灾厄,幼兽,,巨兽
奇物修理专家,50-所有奇物,50-所有奇物,随机奇物
伶人戏法,2星祝福,3星祝福,
掏垃圾桶大师,不感兴趣,获得3个损毁的奇物,舍弃1个奇物
寰宇舞者的启示,抽签,,
奇物黑客,有机心脏-神秘磁力,有机心脏-神秘磁力,离开
火漆制造机,熔铸-祝福,熔铸-祝福,
星际和平投资机器,克制,,
危险投喂,1个-2个,,
归来的岁阳,输了可别,,
厨王争霸,一起上吧-最多3个,,跨级挑战评委
三进制战争,进入战斗,,
和谐比赛,掏出球棒,掏出球棒,
双乐透体验,拒绝,,花费100宇宙碎片-花费50宇宙碎片
帝国遗产,归还帝国-触摸帝国,归还帝国-触摸帝国,接受帝国
虫潮沉睡领主一级,绕路,,进入一场虫群战斗-失去奇物
虫潮沉睡领主二级,保持绝对,,进入一场虫群战斗-失去奇物
虫潮沉睡领主三级,立刻后退,立刻后退,清理它们-失去奇物
星际和平机械分部商城其一,测不准匣,,
星际和平机械分部商城其二,测不准匣,,海绵王-果实
作弊代码其一,200,,
作弊代码其二,被迫战斗,被迫战斗,
咕咕钟狂热粉丝其一,拒绝,,
咕咕钟狂热粉丝其二,舍弃,,
咕咕钟狂热粉丝其三,相同数量祝福-再接受一只,相同数量祝福-再接受一只,
星际和平公司升职记其一,精准地-200-加班,,
星际和平公司升职记其二,派对-会议-培训,,
星际和平公司升职记其三,星际演讲,星际演讲,
星际和平公司升职记其四,获得2个1星方程,200-无尽权力,
星际和平银行其一,走开,100,
星际和平银行其二,取出-走开,走开,
孤独太空美虫模拟宇宙其一,舍弃100-祝福,,奇物
孤独太空美虫模拟宇宙其二,生命,随机奇物,拒绝
萨里其一,全部角色各自损失,全部角色各自损失,舍弃1个奇物
萨里其二,出来,出来,
萨里其三,让萨里出来,让萨里出来,
里奥其一,全部角色各自损失,全部角色各自损失,舍弃1个奇物
里奥其二,出来,出来,
里奥其三,让萨里出来,让萨里出来,
银河商人其一,100,,走开
银河忽悠其二,50,200,走开
银河好人其三,10,,走开
阮梅,就是-信仰星神,想要很多钱,
阮梅其二,就是-信仰星神,就是-信仰星神,
阮梅其三,想象力-给螺丝,想象力-给螺丝,
迷宫双门,离开,离开,离开
